,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State,Cancer,Gender,Larynx,Lung,Nasal,Race,Trachea
0,1999.0,0.0,0.0,0.064,0.0,0.0,24.66666666666667,9.8,SD,,,,,,,
1,2000.0,0.0,0.0,0.0635,0.0,0.0,22.5,0.0,SD,,,,,,,
2,2001.0,0.0,0.0,0.066,0.0,0.0,23.0,8.72,SD,,,,,,,
3,2002.0,0.0,2.0,0.071,0.0,0.0,21.5,7.616666666666667,SD,,,,,,,
4,2003.0,0.0,8.0,0.071,0.0,0.0,26.285714285714285,8.328571428571427,SD,,,,,,,
5,2004.0,0.0,7.0,0.06366666666666666,0.0,0.0,22.66666666666667,8.285714285714286,SD,,,,,,,
6,2005.0,0.0,3.5,0.06825,0.6666666666666666,0.0,17.25,8.485714285714286,SD,,,,,,,
7,2006.0,0.0,2.333333333333333,0.0675,0.6666666666666666,0.0,18.142857142857142,8.099999999999998,SD,,,,,,,
8,2007.0,0.0,1.6666666666666667,0.062,0.5,0.0,20.0,7.75,SD,,,,,,,
9,2008.0,0.0,2.6666666666666665,0.0582,0.6666666666666666,0.0,20.0,7.514285714285713,SD,,,,,,,
10,2009.0,0.3,2.5,0.0585,0.3333333333333333,0.0,17.22222222222222,7.512500000000001,SD,,,,,,,
11,2010.0,0.3,3.6666666666666665,0.060666666666666674,0.25,0.0,18.33333333333333,7.775,SD,,,,,,,
12,2011.0,0.5,4.5,0.05983333333333332,0.5,0.0,15.857142857142858,6.725,SD,,,,,,,
13,2012.0,0.55,5.25,0.068,0.0,0.0,19.777777777777786,7.624999999999999,SD,,,,,,,
14,2013.0,0.4,4.25,0.06316666666666666,0.25,0.0,18.555555555555557,7.6125,SD,,,,,,,
15,2014.0,0.5,4.0,0.05983333333333332,0.25,0.0,17.777777777777782,5.616666666666667,SD,,,,,,,
16,2015.0,0.6,4.0,0.06,0.5,0.0,18.11111111111111,6.588888888888889,SD,,,,,,,
17,2016.0,0.6034064786375658,4.501417978206108,0.060484145667822085,0.4988319820699469,0.0,18.097799617960266,5.6023652652652,SD,,,,,,,
18,2017.0,0.1800605320210928,0.0,0.015605077225214243,0.20668859546068305,0.0,9.41616934429637,3.157528321769713,SD,,,,,,,
19,2018.0,0.21280158628302007,0.6360780659699883,0.03016317588575076,0.25130163299522496,0.0,13.405698300552366,0.333110212033378,SD,,,,,,,
20,2019.0,0.015032832234815191,2.987848616511769,0.013772517297699915,0.05398391139708705,0.0,9.198073847772275,0.5198120002785576,SD,,,,,,,
21,2020.0,0.06586702263860224,1.5480754674592414,0.0010281511275066243,0.11227888616837924,0.0,2.430278684424833,0.0,SD,,,,,,,
22,2021.0,0.09204532934602404,0.0,0.00585341537358657,0.09136234834566248,0.0,2.6465808959606174,0.21563379787779,SD,,,,,,,
23,2022.0,0.05792805993837229,0.05650684412977936,0.002319624547838718,0.0646828022825042,0.0,3.972196668501448,0.0,SD,,,,,,,
24,2023.0,0.10877082629858538,1.885156008881156,0.0,0.11288464813865673,0.0,0.5965998701232127,0.3998499457470413,SD,,,,,,,
25,2024.0,0.08921759366428718,1.0148650647831552,0.0,0.0740273927841224,0.0,0.0,0.0,SD,,,,,,,
26,2025.0,0.09238110118125907,0.0,0.0,0.09924803279929817,0.0,0.3155187232399199,0.6868092666438983,SD,,,,,,,
27,1999.0,3.55,14.5,0.0998,3.1666666666666665,0.0,26.11111111111111,21.9,GA,Nasal,Male,0.0,0.0,0.9,White,0.0
28,1999.0,3.55,14.5,0.0998,3.1666666666666665,0.0,26.11111111111111,21.9,GA,Lung,Male,0.0,57.4,0.0,Black or African American,0.0
29,1999.0,3.55,14.5,0.0998,3.1666666666666665,0.0,26.11111111111111,21.9,GA,Lung,Female,0.0,26.6,0.0,Black or African American,0.0
30,1999.0,3.55,14.5,0.0998,3.1666666666666665,0.0,26.11111111111111,21.9,GA,Lung,Male,0.0,86.6,0.0,White,0.0
31,1999.0,3.55,14.5,0.0998,3.1666666666666665,0.0,26.11111111111111,21.9,GA,Lung,Female,0.0,56.9,0.0,White,0.0
32,1999.0,3.55,14.5,0.0998,3.1666666666666665,0.0,26.11111111111111,21.9,GA,Larynx,Female,2.0,0.0,0.0,White,0.0
33,1999.0,3.55,14.5,0.0998,3.1666666666666665,0.0,26.11111111111111,21.9,GA,Lung,Female,0.0,26.6,0.0,Black or African American,0.0
34,1999.0,3.55,14.5,0.0998,3.1666666666666665,0.0,26.11111111111111,21.9,GA,Larynx,Male,8.5,0.0,0.0,White,0.0
35,1999.0,3.55,14.5,0.0998,3.1666666666666665,0.0,26.11111111111111,21.9,GA,Larynx,Male,7.1,0.0,0.0,Black or African American,0.0
36,2000.0,2.9000000000000004,13.5,0.0940526315789474,3.333333333333333,0.0,27.8,17.76923076923077,GA,Nasal,Male,0.0,0.0,1.1,White,0.0
